Uppername	compound_id	compound_name	equivalent_structures	primary_moa	moas	primary_target_gene_symbol	phase	rdkit_smiles	CAS	cas	nsc	name	testing_status	mechanism	synonyms	cas.y	found	duplicated
4SC-202	c1622ee6d20477f6df842ea8aa9f85a9	4SC-202	[NCGC00384199]	"Histone Deacetylase 2, Class I Inhibitor"	"[Histone Deacetylase 2, Class I Inhibitor, Hdac Inhibitor, Histone Deacetylase 3, Class I Inhibitor, Histone Deacetylase 1, Class I Inhibitor]"	HDAC1	[Phase I/II]	[Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1]	910462-43-0	910462430	759905	4SC-202	Clinical trial	HDAC	4sc-202|;4sc-202;(e)-2-(3-(1-((4-(1-methyl-1h-pyrazol-4-yl)pheny...|(e)-2-(3-(1-((4-(1-methyl-1h-pyrazol-4-yl)phenyl)sulfony...		name	FALSE
A-1210477	e07db19790690ef9552225d52e4db01f	A-1210477	[NCGC00387725]	Mcl-1 Inhibitor	"[Mcl-1 Inhibitor, Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1 Inhibitor]"	MCL1	"[Preclinical, Unknown]"	[Cc1nn(C)c(COc2ccc(N3CCN(S(=O)(=O)N(C)C)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12]	1668553-26-1	1668553261	784817	A-1210477	Clinical trial	MCL1	a1210477 hcl|a 1210477 hcl|a-1210477 hcl|a-9036|A-1210477		name	FALSE
ACTB-1003	68615f8aafc20fbaa7cd67e8b136e5b8	Actb-1003	[NCGC00481611]	Ribosomal Protein S6 Kinase Alpha-1 Inhibitor	"[Ribosomal Protein S6 Kinase Alpha-1 Inhibitor, Fgfr Inhibitor, Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Ribosomal Protein S6 Kinase Beta-1 Inhibitor, Angiopoietin-1 Receptor Inhibitor, Fibroblast Growth Factor Receptor Inhibitor]"	RPS6KA1	"[Unknown, Phase I]"	[COCc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c(F)c2)c2c(N)ncnn2c1CN1CCOCC1]	939805-30-8	939805308	799324	ACTB-1003	NA	NA	NA		name	FALSE
ALOIN	8b260edb5ba2af7bd658cab06dcbcc25	Aloin	"[NCGC00389192, NCGC00178216, NCGC00183867, NCGC00386161, NCGC00095271, NCGC00389730]"	Stimulant Laxative	[Stimulant Laxative]		"[Preclinical, Unknown]"	"[O=C1c2c(O)cccc2C(O[C@@H]2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2C(OC2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21, O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21]"	8024-48-4	8024484	4722	ALOIN			aloin|aloins		name	FALSE
AMG-900	e352abd55182307c2db898663bf2b75b	AMG-900	[NCGC00263094]	Aurora-a/b/c Kinase Inhibitor	"[Aurora-a/b/c Kinase Inhibitor, Aurora Kinase A Inhibitor, Aurora Kinase B Inhibitor, Aurora Kinase C Inhibitor]"	AURKA	[Phase I]	[Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1]	945595-80-2	945595802	761069	AMG-900	Clinical trial	"PK:STK,AURK"	amg900|n-[4-[[3-(2-amino-4-pyrimidinyl)-2-pyridinyl]oxy]phenyl]...|AMG-900		name	FALSE
ANCITABINE HYDROCHLORIDE	4cab5a0efc708d673a02fcef8e65beb1	ANCITABINE HYDROCHLORIDE	"[MLS001032024, NCGC00178156, NCGC00346726, NCGC00260827, NCGC00142470, NCGC00017239, NCGC00161845, MLS001173324, NCGC00093632, NCGC00015098, NCGC00263968, NCGC00255140, NCGC00159322, MLS000766237, NCGC00095104]"	Antiviral	"[Antiviral, Dna-directed Dna Polymerase Inhibitor]"	POLB	"[Unknown, Approved]"	"[Cl.N=c1ccn2c(n1)O[C@H]1C(O)[C@@H](CO)O[C@H]12, Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12, N=c1ccn2c(n1)O[C@@H]1[C@@H](O)[C@H](CO)O[C@@H]12, Cl.N=c1ccn2c(n1)O[C@H]1[C@@H](O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@@H]1C2O[C@H](CO)[C@H]1O, N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)C[C@H]12, Cl.N=c1ccn2c(n1)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@H]1C(O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12, CC(=O)O.N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12, Cl.N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)OC1C(O)C(CO)OC12, CC(=O)O.N=c1ccn2c(n1)OC1C(O)C(CO)OC12, N=c1ccn2c(n1)O[C@H]1[C@@H](O)[C@@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@@H]1[C@@H](O)[C@H](CO)O[C@H]12, N=c1ccn2c(n1)O[C@H]1[C@@H]2O[C@@H](CO)[C@H]1O]"	31698-14-3	31698143	"758671, 145668"	"ANCITABINE HYDROCHLORIDE, ANCITABINE HYDROCHLORIDE"	", "	"Ds, Ds"	"ancitabine hydrochloride|cyclocytidine|cyclocytidine hydrochloride, cyclocytidine hydrochloride|cytosine, 1.beta.-d-arabinofuranosyl-2,2'-anhydro-, hydr...|2,2'-anhydroarabinosylcytosine hydrochloride|cyclocmp hydrochloride|2,2'-o-cyclocytidine hydrochloride|2,2'-o-cyclocytidine|2,2'-anhydrocytarabine hcl|1.beta.-d-arabinofuranosylcytosine, 2,2'-anhydro-, hydro...|6h-furo[2',3':4,5]oxazolo[3,2-a]pyrimidine-2-methanol, 2...|2,2'-anhydrocytidine hydrochloride|2,2'-anhydrocytarabine hydrochloride|octd hydrochloride|2,2'-anhydro-1.beta.-d-arabinofuranosylcytosine hydrochl...|ancitabine hydrochloride|2,2'-anhydroaracytidine hydrochloride|nsc-145668|o2,2'-cyclocytidine, monohydrochloride|cyclocytidine|2,2'-cyclocytidine hydrochloride"	"10212256, 10212256"	"name, name"	"TRUE, TRUE"
ARQ-087(DERAZANTINIB)	8d036155d25a4158500cd006d87dd47a	Arq-087(derazantinib)	[NCGC00509932]	Fibroblast Growth Factor Receptor Inhibitor	"[Fibroblast Growth Factor Receptor Inhibitor, Fgfr Inhibitor]"	FGFR1	[Phase III]	[COCCNCCc1cccc(Nc2ncc3c(n2)-c2ccccc2[C@H](c2ccccc2F)C3)c1]	1234356-69-4	1234356694	792996	ARQ-087	Clinical trial	PK:FGFR	ARQ-087_Peak 1|ARQ-087	1234356694	cas	FALSE
ARQ-621	317bff68cbc5936fd2e567bb1fda2030	ARQ-621	[NCGC00386362]	Kinesin-like Protein Kif11 Inhibitor	"[Kinesin-like Protein Kif11 Inhibitor, Kinesin-like Spindle Protein Inhibitor]"	KIF11	[Phase I]	[C#CC[C@H](c1nc2cc(Cl)ccc2c(=O)n1Nc1ccccc1)N(CCCN)C(=O)c1cccc(Cl)c1F]	1095253-39-6	1095253396	771644	ARQ-621	Clinical trial	CDH16|KIF11	arq-621|n-(3-amino-propyl)-3-chloro-2-fluoro-n-[(r)-1-(7-chloro-...		name	FALSE
ARTEMETHER	b2b77cf45b400725ff2a3a4c938c5a91	Artemether	"[NCGC00390188, NCGC00507748, NCGC00485106, NCGC00260984, NCGC00389516, NCGC00164591, NCGC00386152]"	Antimalarial Agents	"[Antimalarial Agents, Ferriprotoporphyrin Ix Interacts, Anti-malarial]"	PfATP6	"[Unknown, Approved]"	"[CO[C@@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)C42OO3, CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3, CO[C@H]1O[C@@H]2O[C@@]3(C)CCC4[C@H](C)CCC([C@H]1C)[C@]42OO3, COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3, COC1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, COC1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@@H]4[C@@H](C)CC[C@H]([C@H]1C)[C@]24OO3, CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, COC1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H](C1C)[C@]42OO3, CO[C@H]1O[C@@H]2OC[C@@]3(C)C[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3, COC1O[C@@H]2O[C@]3(C)CCC4[C@H](C)CCC([C@H]1C)[C@]42OO3, CO[C@H]1O[C@@H]2OC3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3]"	71963-77-4	71963774	665970	ARTEMETHER		NonCan:Mal	artemether		name	FALSE
ASP-3026	3dbb7ad07b9da849487c40a37111a26c	Asp-3026	[NCGC00345791]	Alk Inhibitor	"[Alk Inhibitor, Alk Tyrosine Kinase Receptor Inhibitor, Echinoderm Microtubule-associated Protein-like 4-alk Tyrosine Kinase Receptor (eml4- Alk) Inhibitor, Anaplastic Lymphoma Kinase (alk) Inhibitor]"	ALK	"[Discontinued, Phase I]"	[COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1]	1097917-15-1	1097917151	765865	ASP-3026	Clinical trial	PK:ALK	asp-3026 trihydrochloride|n-[2-methoxy-4-(4-methylpiperazin-1-yl)piperidin-1-yl]ph...|;asp-3026 trihydrochloride;n-[2-methoxy-4-(4-methylpiper...|ASP-3026		name	FALSE
