cellminer_compound_name,display_name,compound_id,
Cyanocobalamin,vitamin b12,81486cad38bd57ef12abcf70b390d6ea,
Azomycin,azomycin,57f17ac0e880d3e2e471ed2e6ff8879e,
BALOFLOXACIN,balofloxacin,c80d65a6cb251d3adfdda776f03722ca,
Cefoselis sulfate,cefoselis sulfate,e3ce8c7c0bd0d994c6e30a1ced6d3c7f,
Ceftiofur sodium salt,ceftiofur sodium,f1f66759af8e359317837f5ebe33077e,
Imipenem,imipenem,1cb62c982afe806810a5cf25b0445353,
Teicoplanin,teicoplanin,7aaa41dab13dd25b1bb0b29e7d60d421,
Oxaliplatin,oxaliplatin,56284c271c6c548958e94650b93a11f9,
Albendazole oxide,albendazole oxide,2a8d0597f04f4be3fde9dae31651cc85,
Clorsulon,clorsulon,70738e1fca6a2a26e713a24951f3c530,
Zilpaterol,zilpaterol,af9d0636031fa90fd5b22328ba8703cd,
Zaltoprofen,zaltoprofen,d66a2b22cdb73a9c132550987af9f2dc,
ACITAZANOLAST,acitazanolast,ddba3cbe2363dada053ed525e76b7a04,
10-Deacetylbaccatin,10-deacetylbaccatin,96107b8f1853e68f1fdb1ffc53d4248e,
ARGLABIN,arglabin,5baf7650d8de15bb6ca3535866ca19ea,
CALINDOL,calindol,d423b5e025c065dfda868aa0c8f96407,
Daminozide,daminozide,c82f3cae4781424f1e8ba854c4f589a6,
Ergosterol,ergosterol,3cdb4cbcc8a2c339b9a667999d1ad554,
Ferulic acid,ferulic acid,789221bdb2cd0639ea37efd530710dc5,
ACEMETACIN,acemetacin,0b7ef73db0580671266c2affaa8e4806,
Clindamycin palmitate hydrochloride,clindamycin palmitate,72d673a4a8a9edf9cd5899692a3bf8e6,
Estriol,estriol,2d4a3f784aa6916fbd3cfe83ac8e0b3c,
Tioxolone,tioxolone,084092f033fa0aeb1af7aca52cf953c0,
Sodium pantothenate,pantothenic acid,62871611c4401ec0d44b591b4cfc25dc,
ECADOTRIL,racecadotril,654db3d7c0a3c37a34a856b5deec2e33,
LEVOSIMENDAN,levosimendan,7e81c200e217f42a8dd27ee42aaea914,
Olprinone,olprinone,1697f2330741931b4f4615f9a08a5522,
Sivelestat,sivelestat,d3dacc13b5059025dd179d767b1367db,
TAMIBAROTENE,tamibarotene,55ffda6ade72e2749915b6c2d169d35e,
Vesnarinone,vesnarinone,3fdffcb34e264064d9fc053223d0951d,
Fruquintinib,fruquintinib,05e25e8ad1b916cf906e971039a47d0e,
MALOTILATE,malotilate,0be622b84ec1fb8780c9a645b49573ae,
RAMATROBAN,ramatroban,bd03dffbb1c42d2e476f71bc4559f953,
Latrepirdine hydrochloride,latrepirdine,c95e56c37e2bcea959fb8b4f8056b3a2,
Clarithromycin,clarithromycin,03305681af9959b593f918ac0c308d16,
Ketanserin,ketanserin,b6c592d3eb632b95eb1dc193f2a775c2,
(+)-Usniacin,(+)-usnic acid,1907fa41b0d81db2e97a216b88f2cdf5,
Nifekalant,nifekalant,56328a513c11d148b440d23a945f7f44,
Iguratimod,iguratimod,d4976b3d49ef0af909b7e738fa409bea,
CILOMILAST,cilomilast,647721e6431abde5b4d2b16c1a5f74c0,
Vapiprost hydrochloride,vapiprost hydrochloride,acf4205efe098f2f3d485b20af08ce9a,
CURCUMIN,curcumin,4269e8f25803a239b2bf3659b19c0bb3,
"(+-)-7-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-7-phenylheptanoic acid",seratrodast,f8de633a99a428b5988d22aa7d715646,
Ptc-124,ataluren,987efdc6ee217767e1f39306b9718695,
ANIRACETAM,aniracetam,2a9718bac7c58e6d8028bb9ac57d88e7,
Linopirdine,linopirdine,b9e7e4a77b674b1fc2b627290a1f8373,
Pramiracetam,pramiracetam,b5bfaa15d9ad8492bdf2443292704750,
Bacitracin (Zinc),bacitracin,68c0e1ed8551a4791e8b18d0a566da2b,
Salinomycin (procoxacin),salinomycin,2280c7b97131164afb136d8fb68ab34b,
Fleroxacin,fleroxacin,ebdc0766ff0d3477492c1085438e3418,
Isepamicin sulphate,isepamicin,0a73e8952ce7295745e06ae7a4508897,
SITAFLOXACIN,sitafloxacin,cc3f387c10d0515e8b0a3feba587fefa,
THIAMPHENICOL,thiamphenicol,d6dcce002ec6f118fd21db6104d4eb00,
Beta-sitosterol,beta-sitosterol,1128ec833922bd8f4c80b6686c0184bd,
beta-Carotene,beta carotene,7dd4303140c2a26eaef164ab0183710d,
4-Methylumbelliferone,hymecromone,5521da3785f13f848ab19ee9e79d4451,
MK-2206,mk-2206,1a68c6aa6b284ca031e349d777499290,
Chidamide,n-(2-amino-5-fluorophenyl)-4-(((1-oxo-3-(3-pyridinyl)-2-propen-1-yl)amino)methyl)benzamide,f7d26a69dc7a3e0dae491678cb31194e,
TANSHINONE IIA,tanshinone iia,5d2bfff2c7f4c59e3d64f352be7bcf58,
LONIDAMINE,lonidamine,9e5e620d95dd6ec4d767730af16fa5fe,
S-FADROZOLE,fadrozole,256e21802159b96d031aa66f0b4caf6a,
Pinorubicin,pirarubicin,2d49810715bc1936065cd068ed33b415,
APATINIB,rivoceranib mesylate,c7ca0e0bdf55a36cfebcbc0649fffdf8,
Suplatast tosylate,suplatast tosylate,8e2adcd721ab3e6d0abfa660a1a22a2f,
Ozagrel hydrochloride,ozagrel hydrochloride,29635f3ab21c1c614e7b01376e2ca43b,
Bromhexine hydrochloride,bromhexine hydrochloride,7de095cc8b450c738cb37fb03f135c3e,
gnf-pf-3325,epothilone a,1917e3893a4bde562a9840c5bcd5f742,
D-Xylitol,xylitol,d620c93a97d5548b27f34d8230237614,
Ciprofibrate,ciprofibrate,54b3be8abd1f821b4068b0198297766d,
HA-1077,fasudil hydrochloride,2e54a32c720614b0abc49fa77ceee087,
Y-25130,azasetron,1b713fba3dd5c8a5edf64bc1fdfb30b4,
Proscillaridin,proscillaridin,1b3c50c024aa2345e0842974bb14191d,
Acadesine,acadesine,f7ef80719c8092673ae1e4c2f573be0f,
FLUMATINIB,flumatinib,17619f277b126bee805e2ec254b9698c,
Erdosteine,erdosteine,b828585c37edfbaf59d063d360d8d9f2,
Clobetasol propionate,clobetasol propionate,2e3bbd7eeb752e94d7d9b6a42ba53cde,
Diclazuril,diclazuril,879f7885dd8544d989d60198570dfbcd,
Monensin sodium,monensin sodium,54bb3089df1b194d65b07df67a73f4c0,
GPLG-0634,filgotinib,205222f26554b1d209a85564a1cad684,
Silybin,silibinin,574879fc5131500bc48160f9444c340c,
Diclofensine,diclofensine,26fcd7b67b8f8b84a7cd33ee817ca589,
Phlorizin,phlorizin,f16cab5ff070124c44f3a102f918f040,
RHEIN,rhein,51711a607a1fa97928137f31437fe93c,
Epalrestat,epalrestat,f962bffb3220d4ffddaa39e77fc09200,
Caroverine hydrochloride,caroverine,e572e2e8ebb7f4e007a3e6cebc9be1db,
NAFTOPIDIL DIHYDROCHLORIDE,naftopidil,92cf6d42c1e842752982e41ac19908fb,
GW-501516,gw-501516,7b432df72c52ae3f984e63e1988c3a29,
Mosapride citrate,mosapride citrate,2d47246f7a9914d17ee2a046c0355959,
Vinpocetine,vinpocetine,bddafd6e8d9b86628da5c3eec44d6cec,
RAUWOLSCINE,yohimbine hydrochloride,6d7a21c4cdc7f31c082d7a7fce9a77a6,
Caffeic acid,caffeic acid,1c55c026c3f4e932b3a2029859f8649a,
Fluocinolone acetonide,fluocinolone acetonide,cad882572b16bb5f213d6c29d2fc8a41,
Domperidone,domperidone,49944fc0a0c7a6a894cfc863b55f34d4,
Perhexiline,perhexiline,cc23d70f4610d8698585da0e3db44c4f,
Cyproterone acetate,cyproterone acetate,c4f98d17d0c901c5629191fd05ecdd59,
Tropisetron,tropisetron,b3a54d1cc07ca3e37a7684a6d73aee13,
Mebendazole,mebendazole,98862dd5b75a19c0c373708057d1f8e3,
Telithromycin,telithromycin,d215f090f93205b9a415504b85831c7b,
"Sequoia research products ltd.,srp01038v",vindesine,5d6e4f29117524d18762be721f49b2ce,
Nimesulide,nimesulide,00a055df2a5df93d4fb54bb89b614d3e,
Chloropyramine hydrochloride,chloropyramine,549c976c6b98b044965ff3c350162c65,
Procaterol hydrochloride,procaterol,436cedbcba43ed25086640930526176d,
OUABAIN,ouabain,d713baede54505439d766c519dac614c,
NEOMYCIN SULFATE,neomycin sulfate,24964c5e2a17140460faa4c3a06cdda9,
Nitrofurazone,nitrofurazone,6262080e869ddf6e07f6801458942cbd,
Tranilast,tranilast,ffff393a177fff930643868b365834c3,
Mianserin hydrochloride,mianserin hydrochloride,cef3967ead299446cc900a649ac0ba5c,
NITAZOXANIDE,nitazoxanide,043500a81f763d925f0de7fcadf2d4fa,
FORMESTANE,formestane,27da9ba02bc3dd794c33b79810b70944,
STAVUDINE,stavudine,e3fc8498e238d3e361cbbc6ed3e202b9,
Manidipine dihydrochloride,manidipine,29f13fa115351fdd76f6d4f4f801fec6,
Papaverine hydrochloride,papaverine hydrochloride,315457896b640a86fccc779658a35960,
CEDIRANIB MALEATE,cediranib,00e7470820994ba631b4973d53ad167e,
Raltitrexed,raltitrexed,d77957b0fb06761542bdcdd3a6b08d13,
MOXONIDINE HYDROCHLORIDE,moxonidine hydrochloride,5385be2237237d222362855606e5e9eb,
Gliclazide,gliclazide,1ecb8a87957c4167f49e58dead252d57,
DAPOXETINE HYDROCHLORIDE,dapoxetine,09c7db74a9b321ed6af1b758c955ac9e,
NANDROLONE PHENPROPIONATE,nandrolone phenpropionate,2ba6c5f693e002fb5e1222c26ecb7ef0,
ETORICOXIB,etoricoxib,9c5e5755f0d619431d0300294c2d9df3,
SULFISOXAZOLE DIOLAMINE,sulfisoxazole,ae5a7ea362e5d2c0b4510cd8a3cc5cdc,
CEFPROZIL,cefprozil,217a79ec08c78562754f02a1242d4042,
PIPERAQUINE,piperaquine,bfd166f439b6ed2b76ae55d871da3149,
Pefloxacin,pefloxacin,89e2d4b2aebafdad654912b3ac58e783,
NORFLOXACIN,norfloxacin,af4f5a4cc4721bbb06ef6b038eb81209,
ACARBOSE,acarbose,1d6622c00c3878568ea475d5d28a7b9f,
Amsacrine,amsacrine,9d8c070dd7aad013f4dc3e8a373477f7,
SURAMIN,suramin sodium,0d49663ef6cdc15d1259177229a96016,
VINFLUNINE,vinflunine,6cb25dd7dc2e515d7bc5c471145483b5,
L-5-hydroxytryptophan,oxitriptan,df11b1b3c82c0a41940ffeeb17dd7263,
5-fluoro-5'-deoxyuridine,doxifluridine,27911ecf2246f9635866a6816e68a76a,
Irsogladine maleate,irsogladine maleate,055065b603326cb085feea5cea0d44e7,
Lafutidine,lafutidine,aa1135e60da819dbb4497c1ced90f4b2,
Tenatoprazole,tenatoprazole,d10925d3154cfade45d2fc8c72ed81ba,
ALIBENDOL,alibendol,517c3ab86a94320212fad08200ab7d1f,
GIMERACIL,gimeracil,0ba9614fad4d5ada7264c6b4d777eeab,
Ripasudil,ripasudil,7ecf500ad503adb5da4d3e4cc76d77ea,
Efaproxiral sodium,efaproxiral,a803802aaf0033c9965245feafa5baa6,
PIMOBENDAN,pimobendan,a3094de587cf70e684cd947ef1dcaeef,
