Cancer type	Cell line ID	ccle.cell	gdscDec15.cell
Prostate	22RV1	22Rv1	
Prostate	VCAP	VCaP	
Liver	SNU387	SNU-387	
Lung	NCIH2228	NCI-H2228	
Lung	NCIH1944	NCI-H1944	
Lung	NCIH1395	NCI-H1395	
Pancreas	PANC1	PANC-1	
Ovary	OV90	OV-90	
Pancreas	CAPAN1	Capan-1	
Pancreas	MIAPACA2	MIA PaCa-2	
Prostate	LNCAPCLONEFGC	LNCaP clone FGC	
Kidney	A704	A-704	
Lung	NCIH1975	NCI-H1975	
Liver	SNU475	SNU-475	
Pancreas	SW1990	SW 1990	
Prostate	MDAPCA2B	MDA PCa 2b	
Lung	NCIH1838	NCI-H1838	
Lung	NCIH1793	NCI-H1793	
Liver	SNU449	SNU-449	
Thyroid	8505C	8505C	
Lung	NCIH1648	NCI-H1648	
Thyroid	FTC133	FTC-133	
Kidney	CAKI2	Caki-2	
Lung	HCC827	HCC827	
Lung	NCIH1573	NCI-H1573	
Lung	NCIH1563	NCI-H1563	
Liver	HEPG2	Hep G2	
Lung	NCIH1666	NCI-H1666	
Lung	NCIH1435	NCI-H1435	
Thyroid	SW579	SW579	
Lung	NCIH1703	NCI-H1703	
Lung	HCC78	HCC-78	
Lung	NCIH520	NCI-H520	
Lung	LC2AD		LC-2-ad
Lung	A549	***	data exists 
