UTSW	NCI-SCLC	match	CELLLINE	SOURCE	INDEX_Utils_table
H1048	NCI-H1048	nci			
H1092	NCI-H1092	nci			
H128	NCI-H128	nci			
H1417	NCI-H1417	nci			
H1436	NCI-H1436	nci			
H146	NCI-H146	nci			
H1522	NCI-H1522	nci			
H1672	NCI-H1672	nci			
H1688	NCI-H1688	nci			
H1694	NCI-H1694	nci			
H1836	NCI-H1836	nci			
H187	NCI-H187	nci			
H1876	NCI-H1876	nci			
H1882	NCI-H1882	nci			
H1930	NCI-H1930	nci			
H1963	NCI-H1963	nci			
H2029	NCI-H2029	nci			
H2081	NCI-H2081	nci			
H209	NCI-H209	nci			
H2107	NCI-H2107	nci			
H211	NCI-H211	nci			
H2141	NCI-H2141	nci			
H2171	NCI-H2171	nci			
H2198	NCI-H2198	nci			
H250	NCI-H250	nci			
H345	NCI-H345	nci			
H378	NCI-H378	nci			
H446	NCI-H446	nci			
H510	NCI-H510	nci			
H524	NCI-H524	nci			
H526	NCI-H526	nci			
H69	NCI-H69	nci			
H711	NCI-H711	nci			
H735	NCI-H735	nci			
H748	NCI-H748	nci			
H774	NCI-H774	nci			
H82	NCI-H82	nci			
H841	NCI-H841	nci			
H865	NCI-H865	nci			
H889	NCI-H889	nci			
SHP-77	SHP-77	nci			
H1238		NEW			
H1450		NEW			
H1514		NEW			
H1607		NEW			
H1628		NEW			
H1870		NEW			
H1994		NEW			
H2108		NEW			
H2679		NEW			
H3282		NEW			
H60		NEW			
H738		NEW			
HCC2433		NEW			
HCC4000		NEW			
HCC4001		NEW			
HCC4002		NEW			
HCC4003		NEW			
HCC4004		NEW			
HCC4405		NEW			
HCC970		NEW			
DMS-153		yes	DMS-153	GDSC	270
H1184		yes	NCI-H1184	GDSC	803
H1339		yes	NCI-H1339	CCLE	804
H1926		yes	NCI-H1926	GDSC	1477
H2195		yes	H2195	MDAMILS	1554
H2196		yes	NCI-H2196	GDSC	374
H2227		yes	NCI-H2227	GDSC	68
H740		yes	NCI-H740	OLD GDSC	1371
HCC33		yes	HCC-33	GDSC	598
