Cosmic id	Analysis.Set.Name	Sanger_ID	GDSC.description_1	SLFN11
907323	L-540	1710STDY5034862	lymphoma	8.2406
910930	SCC-3	CGP_CCL5103687	lymphoma	8.4435
749717	HCC38	1710STDY5035245	breast	6.7827
908121	MDA-MB-361	1710STDY5035251	breast	3.8652
1330994	RCH-ACV	CGP_CCL5391647	leukemia	8.3184
1299070	TOV-112D	CGP_CCL5228721	urogenital_system	7.9236
949167	EW-22	1710STDY5035436	bone	9.4805
905940	K-562	CGP_CCL5391671	leukemia	2.9688
1327771	JURL-MK1	CGP_CCL5306214	leukemia	8.4923
753572	KP-4	1710STDY5035479	pancreas	7.1955
908146	MOLT-13	1710STDY5034869	leukemia	8.5512
910687	ATN-1	1710STDY5034919	leukemia	7.5006
907783	LAMA-84	1710STDY5034863	leukemia	7.9441
906800	697	1710STDY5034898	leukemia	8.2999
1297447	EJM	CGP_CCL5369314	myeloma	4.3496
949153	HAL-01	CGP_CCL5103734	leukemia	8.2254
724873	NCI-H2009	1710STDY5034597	lung_NSCLC	4.2447
909702	RPMI-8402	CGP_CCL5306265	leukemia	7.2139
908448	NKM-1	1710STDY5034938	leukemia	8.7984
949161	EW-3	1710STDY5035457	bone	8.8253
1327768	JM1	CGP_CCL5306229	lymphoma	6.9133
1331040	SUP-M2	CGP_CCL5306308	lymphoma	6.6874
684057	ES5	1710STDY5035429	bone	7.1918
684072	SK-ES-1	1710STDY5035446	bone	7.8553
949166	EW-13	1710STDY5035433	bone	8.8225
908149	Mo-T	1710STDY5034964	leukemia	5.7257
910710	BV-173	1710STDY5034920	leukemia	8.3746
908158	NALM-6	CGP_CCL5103824	leukemia	8.8877
1330935	L-1236	CGP_CCL5306235	lymphoma	5.5323
906798	639-V	CGP_CCL5055215	urogenital_system	8.1849
905958	MOLT-4	1710STDY5034934	leukemia	8.5862
1295740	ALL-SIL	CGP_CCL5369310	leukemia	8.3328
1247871	SUP-B15	1710STDY5034911	leukemia	8.4938
905952	CCRF-CEM	1710STDY5034922	leukemia	7.8211
909707	Saos-2	1710STDY5035444	bone	7.7210
905965	SR	1710STDY5034879	lymphoma	7.8053
909742	SU-DHL-1	CGP_CCL5103781	lymphoma	7.5470
949158	ES1	1710STDY5035456	bone	8.7354
909194	NCI-H748	1710STDY5034715	lung_SCLC	7.6837
949162	EW-12	1710STDY5035432	bone	8.7554
749712	HCC1395	CGP_CCL5306263	breast	2.8858
908133	MHH-CALL-4	CGP_CCL5369295	leukemia	8.1645
688018	NCI-H2227	CGP_CCL5103706	lung_SCLC	7.2917
684055	ES3	1710STDY5035458	bone	8.5094
1330984	OCI-LY-19	CGP_CCL5306179	lymphoma	8.3706
684062	EW-11	1710STDY5035431	bone	10.0960
907043	H9	1710STDY5034961	lymphoma	9.2559
949168	EW-24	1710STDY5035437	bone	9.6306
